meanBytes,minBytes,maxBytes,medAbsDev,skewLength,kurtosisLength,meanTBP,varTBP,medianTBP,kurtosisTBP,skewTBP,network_total,network_in,network_out,network_external,network_local,network_in_local,network_out_local,meanBytes_out_external,meanBytes_in_external,meanBytes_out_local,meanBytes_in_local,device,state,event,start_time,remote_ip,remote_port,trans_protocol,raw_protocol,protocol,hosts
172.92307692307693,54,448,48.92587321068486,0.9078573390555319,-1.0394940085716744,0.017463923076923075,0.0003347795507435898,0.011492,-0.5166950414008915,0.9824753936068529,13,8,5,13,0,0,0,126.4,202.0,0.0,0.0,amazon-plug,android_wan_on,2021-08-04_21:10:41.37s,1628125861.703911,50.17.199.242,443,6,"{'TCP', 'TLSv1.2'}",TCP,a1piwaqdydua5q.iot.us-east-1.amazonaws.com
54.0,54,54,0.0,,,0.0058865,6.93017645e-05,0.0058865,-2.0,0.0,2,1,1,2,0,0,0,54.0,54.0,0.0,0.0,amazon-plug,android_wan_on,2021-08-04_21:10:41.37s,1628125856.223689,50.17.199.242,443,6,{'TCP'},TCP,a1piwaqdydua5q.iot.us-east-1.amazonaws.com
182.83333333333334,54,448,48.92587321068486,0.7432096994944078,-1.3565467873877273,0.012333250000000002,0.0003731313985681818,0.003338,0.9287155591925345,1.6506127069141467,12,7,5,12,0,0,0,126.4,223.14285714285714,0.0,0.0,amazon-plug,android_wan_on,2021-08-05_01:47:07.37s,1628142447.810309,50.17.199.242,443,6,"{'TCP', 'TLSv1.2'}",TCP,a1piwaqdydua5q.iot.us-east-1.amazonaws.com
346.0,342,350,5.930408874022408,0.0,-2.0,0.0766495,0.011750291700499998,0.0766495,-2.0,0.0,2,0,0,0,2,1,1,0.0,0.0,350.0,342.0,amazon-plug,android_wan_on,2021-08-04_21:10:41.37s,1628125860.614077,,,17,{'DHCP'},DHCP,22:ef:03:1a:97:b9
54.0,54,54,0.0,,,0.005833,6.804777799999999e-05,0.005833,-2.0,0.0,2,1,1,2,0,0,0,54.0,54.0,0.0,0.0,amazon-plug,android_wan_on,2021-08-05_01:47:07.37s,1628142439.330096,50.17.199.242,443,6,{'TCP'},TCP,a1piwaqdydua5q.iot.us-east-1.amazonaws.com
54.0,54,54,0.0,,,0.005866,6.8819912e-05,0.005866,-2.0,0.0,2,1,1,2,0,0,0,54.0,54.0,0.0,0.0,amazon-plug,android_wan_on,2021-08-04_23:49:02.37s,1628135354.414591,50.17.199.242,443,6,{'TCP'},TCP,a1piwaqdydua5q.iot.us-east-1.amazonaws.com
54.0,54,54,0.0,,,0.00578,6.681680000000001e-05,0.00578,-2.0,0.0,2,1,1,2,0,0,0,54.0,54.0,0.0,0.0,amazon-plug,android_wan_on,2021-08-05_03:05:29.38s,1628147141.541904,50.17.199.242,443,6,{'TCP'},TCP,a1piwaqdydua5q.iot.us-east-1.amazonaws.com
182.83333333333334,54,448,48.92587321068486,0.7432096994944078,-1.3565467873877273,0.01559216666666667,0.00046691277051515157,0.0049225,-0.5120616633369388,1.148905505517356,12,7,5,12,0,0,0,126.4,223.14285714285714,0.0,0.0,amazon-plug,android_wan_on,2021-08-04_21:11:59.37s,1628125939.501584,50.17.199.242,443,6,"{'TCP', 'TLSv1.2'}",TCP,a1piwaqdydua5q.iot.us-east-1.amazonaws.com
54.0,54,54,0.0,,,0.0059165,7.00099445e-05,0.0059165,-2.0,0.0,2,1,1,2,0,0,0,54.0,54.0,0.0,0.0,amazon-plug,android_wan_on,2021-08-09_13:55:32.38s,1628531744.690977,3.214.122.188,443,6,{'TCP'},TCP,a1piwaqdydua5q.iot.us-east-1.amazonaws.com
182.83333333333334,54,448,48.92587321068486,0.7432096994944078,-1.3565467873877273,0.010844583333333333,0.0002615194651742425,0.003854,3.0816144140755926,2.052262888786405,12,7,5,12,0,0,0,126.4,223.14285714285714,0.0,0.0,amazon-plug,android_wan_on,2021-08-04_18:34:20.38s,1628116481.162325,50.17.199.242,443,6,"{'TCP', 'TLSv1.2'}",TCP,a1piwaqdydua5q.iot.us-east-1.amazonaws.com
