meanBytes,minBytes,maxBytes,medAbsDev,skewLength,kurtosisLength,meanTBP,varTBP,medianTBP,kurtosisTBP,skewTBP,network_total,network_in,network_out,network_external,network_local,network_in_local,network_out_local,meanBytes_out_external,meanBytes_in_external,meanBytes_out_local,meanBytes_in_local,device,state,event,start_time,remote_ip,remote_port,trans_protocol,raw_protocol,protocol,hosts
607.639344262295,54,1514,56.33888430321287,0.5481762232105448,-1.6642535140024703,0.012720032786885245,0.002648622842532241,0.000118,23.22151046020358,4.910759044282329,61,29,32,61,0,0,0,1087.09375,78.58620689655173,0.0,0.0,echoshow5,android_wan_volume,2021-08-05_04:58:13.45s,1628153921.561866,52.119.197.116,443,6,"{'TCP', 'TLSv1.2'}",TCP,avs-alexa-3-na.amazon.com
84.66666666666667,54,100,0.0,-0.7071067811865482,-1.4999999999999991,0.004514333333333333,4.294674433333334e-05,0.001512,-1.5,0.6649964725507539,3,2,1,3,0,0,0,100.0,77.0,0.0,0.0,echoshow5,android_wan_volume,2021-08-05_04:58:13.45s,1628153918.781205,52.119.197.116,443,6,"{'TCP', 'TLSv1.2'}",TCP,avs-alexa-3-na.amazon.com
84.66666666666667,54,100,0.0,-0.7071067811865482,-1.4999999999999991,0.005094666666666667,3.612944533333333e-05,0.00356,-1.5,0.4384747996610582,3,2,1,3,0,0,0,100.0,77.0,0.0,0.0,echoshow5,android_wan_volume,2021-08-05_07:59:02.46s,1628164769.233971,52.94.227.146,443,6,"{'TCP', 'TLSv1.2'}",TCP,avs-alexa-3-na.amazon.com
706.0,66,1514,858.4266845147436,0.14789795197787206,-1.6398877012191333,0.0049502,2.03844037e-05,0.003515,-0.5547379484211619,0.7284514341701511,5,2,3,5,0,0,0,939.6666666666666,355.5,0.0,0.0,echoshow5,android_wan_volume,2021-08-05_04:58:13.45s,1628153934.694738,52.73.53.50,443,6,"{'TCP', 'TLSv1.2'}",TCP,prod.amcs-tachyon.com
154.2,54,547,8.895613311033612,1.4551873833426532,0.757127136751603,0.008607,0.0002546922257777778,0.0028655,4.22380506280961,2.3929887919344406,10,0,0,0,10,5,5,0.0,0.0,156.6,151.8,echoshow5,android_wan_volume,2021-08-05_07:59:02.46s,1628164748.554261,,,6,"{'TCP', 'HTTP/XML'}",TCP,t-wemo-plug
103.0,79,127,35.58245324413445,0.0,-2.0,0.004023,3.236905799999999e-05,0.004023,-2.0,0.0,2,1,1,2,0,0,0,79.0,127.0,0.0,0.0,echoshow5,android_wan_volume,2021-08-05_07:59:02.46s,1628164744.927617,155.33.33.75,53,17,{'DNS'},DNS,neu.edu
628.051724137931,54,1514,56.33888430321287,0.46895915855014686,-1.7451510180645495,0.013491637931034485,0.003261392114620993,0.00025299999999999997,36.47641250508039,5.915789352305894,58,28,30,58,0,0,0,1140.0666666666666,79.46428571428571,0.0,0.0,echoshow5,android_wan_volume,2021-08-05_06:28:36.45s,1628159344.086456,52.94.229.122,443,6,"{'TCP', 'TLSv1.2'}",TCP,avs-alexa-3-na.amazon.com
84.66666666666667,54,100,0.0,-0.7071067811865482,-1.4999999999999991,0.0044993333333333335,4.6621449333333345e-05,0.001142,-1.4999999999999993,0.6849189657697861,3,2,1,3,0,0,0,100.0,77.0,0.0,0.0,echoshow5,android_wan_volume,2021-08-05_06:28:36.45s,1628159338.017984,52.94.229.122,443,6,"{'TCP', 'TLSv1.2'}",TCP,avs-alexa-3-na.amazon.com
711.0943396226415,54,1514,455.1588810812198,0.24875669939071834,-1.8643231416282422,0.014588132075471699,0.00355645694173222,0.000129,33.05820049885573,5.646725246553275,53,21,32,53,0,0,0,1120.09375,87.85714285714286,0.0,0.0,echoshow5,android_wan_volume,2021-08-05_07:59:02.46s,1628164770.90622,52.94.227.146,443,6,"{'TCP', 'TLSv1.2'}",TCP,avs-alexa-3-na.amazon.com
766.4473684210526,54,5659,131.21029633774577,2.598436506994912,9.402708004363667,0.00624628947368421,0.00018318113404907537,0.0016150000000000001,10.578272214942986,3.259558521437285,38,12,26,38,0,0,0,860.5769230769231,562.5,0.0,0.0,echoshow5,android_wan_volume,2021-08-05_07:59:02.46s,1628164744.940967,52.46.136.126,443,6,"{'TCP', 'TLSv1.2', 'TLSv1'}",TCP,unagi-na.amazon.com
706.0,66,1514,858.4266845147436,0.14789795197787206,-1.6398877012191333,0.0034487999999999997,2.4866426199999997e-05,0.001259,-0.14665854792226485,1.238687875333908,5,2,3,5,0,0,0,939.6666666666666,355.5,0.0,0.0,echoshow5,android_wan_volume,2021-08-05_06:28:36.45s,1628159357.848013,52.73.53.50,443,6,"{'TCP', 'TLSv1.2'}",TCP,prod.amcs-tachyon.com
