meanBytes,minBytes,maxBytes,medAbsDev,skewLength,kurtosisLength,meanTBP,varTBP,medianTBP,kurtosisTBP,skewTBP,network_total,network_in,network_out,network_external,network_local,network_in_local,network_out_local,meanBytes_out_external,meanBytes_in_external,meanBytes_out_local,meanBytes_in_local,device,state,event,start_time,remote_ip,remote_port,trans_protocol,raw_protocol,protocol,hosts
61.0,54,68,10.378215529539213,0.0,-2.0,0.035355,0.0024999520499999995,0.035355,-2.0,0.0,2,1,1,2,0,0,0,68.0,54.0,0.0,0.0,magichome-strip,android_lan_color,2021-08-01_21:56:12.35s,1627869373.832356,47.89.253.180,8806,6,{'TCP'},TCP,mhc8806us.magichue.net
60.0,54,68,5.930408874022408,0.47033046033698594,-1.4999999999999998,0.002062,4.282999000000001e-06,0.002047,-1.5000000000000002,0.013314698774957725,3,0,0,0,3,2,1,0.0,0.0,68.0,56.0,magichome-strip,android_lan_color,2021-08-01_21:56:12.35s,1627869403.85098,,,6,{'TCP'},TCP,58:cb:52:15:e2:54
57.0,54,62,1.482602218505602,0.6654688661238353,-1.5,0.05051233333333333,0.0031064607703333337,0.041231,-1.5000000000000004,0.2974411593347302,3,0,0,0,3,2,1,0.0,0.0,55.0,58.0,magichome-strip,android_lan_color,2021-08-01_21:56:12.35s,1627869389.246637,,,6,{'TCP'},TCP,58:cb:52:15:e2:54
70.0,59,81,16.30862440356162,0.0,-2.0,0.0012845,3.2998805000000004e-06,0.0012845,-2.0,0.0,2,0,0,0,2,1,1,0.0,0.0,81.0,59.0,magichome-strip,android_lan_color,2021-08-01_21:56:12.35s,1627869384.172835,,,17,{'UDP'},UDP,58:cb:52:15:e2:54
60.75,54,74,5.930408874022408,0.6490797389484353,-1.0398494486055176,0.022350000000000002,0.0010499640777142858,0.005820499999999999,-0.5119034861932108,1.113216874582419,8,0,0,0,8,5,3,0.0,0.0,60.0,61.2,magichome-strip,android_lan_color,2021-08-01_21:56:12.35s,1627869373.725457,,,6,{'TCP'},TCP,58:cb:52:15:e2:54
61.0,54,68,10.378215529539213,0.0,-2.0,0.0353515,0.0024994571045000003,0.0353515,-2.0,0.0,2,1,1,2,0,0,0,68.0,54.0,0.0,0.0,magichome-strip,android_lan_color,2021-08-01_21:56:12.35s,1627869403.855001,47.89.253.180,8806,6,{'TCP'},TCP,mhc8806us.magichue.net
57.0,54,62,1.482602218505602,0.6654688661238353,-1.5,0.06232466666666667,0.003425752100333334,0.070849,-1.5,-0.2618836253464649,3,0,0,0,3,2,1,0.0,0.0,55.0,58.0,magichome-strip,android_lan_color,2021-08-02_07:07:41.35s,1627902478.338112,,,6,{'TCP'},TCP,58:cb:52:15:e2:54
60.0,54,68,5.930408874022408,0.47033046033698594,-1.4999999999999998,0.016406666666666667,0.0006613432583333335,0.003175,-1.5000000000000002,0.6950005955971874,3,0,0,0,3,2,1,0.0,0.0,68.0,56.0,magichome-strip,android_lan_color,2021-08-02_07:07:41.35s,1627902492.600652,,,6,{'TCP'},TCP,58:cb:52:15:e2:54
70.0,59,81,16.30862440356162,0.0,-2.0,0.0567715,0.006446006424500001,0.0567715,-2.0,0.0,2,0,0,0,2,1,1,0.0,0.0,81.0,59.0,magichome-strip,android_lan_color,2021-08-02_07:07:41.35s,1627902473.289494,,,17,{'UDP'},UDP,58:cb:52:15:e2:54
60.75,54,74,5.930408874022408,0.6490797389484353,-1.0398494486055176,0.015637625,0.0010615600242678568,0.0030375,2.843210231778678,2.1574690668742793,8,0,0,0,8,5,3,0.0,0.0,60.0,61.2,magichome-strip,android_lan_color,2021-08-02_07:07:41.35s,1627902462.569735,,,6,{'TCP'},TCP,58:cb:52:15:e2:54
61.0,54,68,10.378215529539213,0.0,-2.0,0.055231,0.006100926722,0.055231,-2.0,0.0,2,1,1,2,0,0,0,68.0,54.0,0.0,0.0,magichome-strip,android_lan_color,2021-08-02_07:07:41.35s,1627902462.582769,47.89.253.180,8806,6,{'TCP'},TCP,mhc8806us.magichue.net
61.0,54,68,10.378215529539213,0.0,-2.0,0.0354355,0.0025113493205,0.0354355,-2.0,0.0,2,1,1,2,0,0,0,68.0,54.0,0.0,0.0,magichome-strip,android_lan_color,2021-08-02_07:07:41.35s,1627902492.644053,47.89.253.180,8806,6,{'TCP'},TCP,mhc8806us.magichue.net
70.0,59,81,16.30862440356162,0.0,-2.0,0.0015585,4.8578444999999995e-06,0.0015585,-2.0,0.0,2,0,0,0,2,1,1,0.0,0.0,81.0,59.0,magichome-strip,android_lan_color,2021-08-02_07:33:53.34s,1627904044.140386,,,17,{'UDP'},UDP,58:cb:52:15:e2:54
60.75,54,74,5.930408874022408,0.6490797389484353,-1.0398494486055176,0.019062499999999996,0.0018286544985714286,0.0021035,2.9015360711751423,2.1798218806161285,8,0,0,0,8,5,3,0.0,0.0,60.0,61.2,magichome-strip,android_lan_color,2021-08-02_07:33:53.34s,1627904033.704627,,,6,{'TCP'},TCP,58:cb:52:15:e2:54
57.0,54,62,1.482602218505602,0.6654688661238353,-1.5,0.052854000000000005,0.0036358784909999993,0.040029,-1.5000000000000004,0.3730650915578565,3,0,0,0,3,2,1,0.0,0.0,55.0,58.0,magichome-strip,android_lan_color,2021-08-02_07:33:53.34s,1627904049.559385,,,6,{'TCP'},TCP,58:cb:52:15:e2:54
60.0,54,68,5.930408874022408,0.47033046033698594,-1.4999999999999998,0.019635,0.0007396717690000001,0.008227,-1.5000000000000002,0.6350127226657477,3,0,0,0,3,2,1,0.0,0.0,68.0,56.0,magichome-strip,android_lan_color,2021-08-02_07:33:53.34s,1627904063.727842,,,6,{'TCP'},TCP,58:cb:52:15:e2:54
61.0,54,68,10.378215529539213,0.0,-2.0,0.0353325,0.0024967711125000003,0.0353325,-2.0,0.0,2,1,1,2,0,0,0,68.0,54.0,0.0,0.0,magichome-strip,android_lan_color,2021-08-02_07:33:53.34s,1627904033.713948,47.89.253.180,8806,6,{'TCP'},TCP,mhc8806us.magichue.net
