meanBytes,minBytes,maxBytes,medAbsDev,skewLength,kurtosisLength,meanTBP,varTBP,medianTBP,kurtosisTBP,skewTBP,network_total,network_in,network_out,network_external,network_local,network_in_local,network_out_local,meanBytes_out_external,meanBytes_in_external,meanBytes_out_local,meanBytes_in_local,device,state,event,start_time,remote_ip,remote_port,trans_protocol,raw_protocol,protocol,hosts
101.0,66,153,26.686839933100835,0.5868705659359479,-1.5,0.023032333333333335,0.0015261879743333337,0.000958,-1.5,0.7066284449199265,3,1,2,3,0,0,0,109.5,84.0,0.0,0.0,microseven-camera,android_lan_audio,2021-08-04_11:15:07.51s,1628090114.23316,173.254.193.108,7007,6,{'TCP'},TCP,pnp.microseven.com
159.75,66,389,38.54765768114565,1.0718856710638005,-0.7394737452514617,0.09456624999999999,0.035479518400249994,0.0005794999999999999,-0.6666735485586419,1.1546915953575765,4,2,2,4,0,0,0,66.0,253.5,0.0,0.0,microseven-camera,android_lan_audio,2021-08-04_11:15:07.51s,1628090122.405109,173.254.193.108,7007,6,{'TCP'},TCP,pnp.microseven.com
74.0,66,82,11.860817748044816,0.0,-2.0,0.000364,2.64992e-07,0.000364,-2.0,0.0,2,1,1,2,0,0,0,66.0,82.0,0.0,0.0,microseven-camera,android_lan_audio,2021-08-04_11:15:07.51s,1628090125.959464,173.254.193.108,7007,6,{'TCP'},TCP,pnp.microseven.com
144.28571428571428,66,528,11.860817748044816,1.9550922100576331,1.9595869396659662,0.05359842857142857,0.00868851602095238,0.002893,1.377448541225152,1.7082727529080999,7,3,4,7,0,0,0,201.0,68.66666666666667,0.0,0.0,microseven-camera,android_lan_audio,2021-08-04_11:15:07.51s,1628090122.411951,173.254.193.108,7007,6,{'TCP'},TCP,pnp.microseven.com
110.5,66,341,0.0,1.8188696984671242,1.7168505205151385,0.0024653,9.76318601111111e-06,0.0009215,0.13373344719430724,1.2557740943188953,10,0,0,0,10,5,5,0.0,0.0,98.4,122.6,microseven-camera,android_lan_audio,2021-08-04_11:15:07.51s,1628090122.873254,,,6,"{'HTTP', 'TCP'}",TCP,58:cb:52:15:e2:54
101.0,66,153,26.686839933100835,0.5868705659359479,-1.5,0.022977666666666664,0.0015412946803333334,0.000624,-1.5,0.7069058211988399,3,1,2,3,0,0,0,109.5,84.0,0.0,0.0,microseven-camera,android_lan_audio,2021-08-04_11:15:07.51s,1628090144.322363,173.254.193.108,7007,6,{'TCP'},TCP,pnp.microseven.com
114.9,66,343,0.0,1.6275388669729012,0.8520146530823802,0.0011252,1.8497117333333328e-06,0.000683,0.03860476811100266,1.276576726336008,10,0,0,0,10,5,5,0.0,0.0,106.8,123.0,microseven-camera,android_lan_audio,2021-08-04_11:15:07.51s,1628090125.91966,,,6,"{'HTTP', 'TCP'}",TCP,58:cb:52:15:e2:54
105.0,66,309,5.930408874022408,2.0727977774507957,2.9315042573658205,0.0005738,2.3218262222222223e-07,0.0004505,-0.5527918926199535,0.7916835417299167,10,0,0,0,10,5,5,0.0,0.0,93.8,116.2,microseven-camera,android_lan_audio,2021-08-04_11:15:07.51s,1628090125.890319,,,6,"{'HTTP', 'TCP'}",TCP,58:cb:52:15:e2:54
86.0,78,94,11.860817748044816,0.0,-2.0,0.0017955,6.4476405e-06,0.0017955,-2.0,0.0,2,1,1,2,0,0,0,78.0,94.0,0.0,0.0,microseven-camera,android_lan_audio,2021-08-04_11:15:07.51s,1628090122.406109,155.33.33.75,53,17,{'DNS'},DNS,neu.edu
114.1,66,342,0.0,1.6511318840410754,0.9601657548475164,0.0009235999999999999,1.4204949333333332e-06,0.0003715,0.03585076940765708,1.225164324054623,10,0,0,0,10,5,5,0.0,0.0,105.4,122.8,microseven-camera,android_lan_audio,2021-08-04_11:15:07.51s,1628090125.896486,,,6,"{'HTTP', 'TCP'}",TCP,58:cb:52:15:e2:54
74.0,66,82,11.860817748044816,0.0,-2.0,0.0002815,1.5848450000000002e-07,0.0002815,-2.0,0.0,2,1,1,2,0,0,0,66.0,82.0,0.0,0.0,microseven-camera,android_lan_audio,2021-08-04_10:10:55.60s,1628086273.332876,173.254.193.108,7007,6,{'TCP'},TCP,pnp.microseven.com
125.7,66,309,5.930408874022408,1.1526326009732852,-0.44256456456935744,0.0012476000000000002,1.7661056000000003e-06,0.0008535,0.4490452833124112,1.1759301212864934,10,0,0,0,10,5,5,0.0,0.0,135.2,116.2,microseven-camera,android_lan_audio,2021-08-04_11:15:07.51s,1628090125.905973,,,6,"{'HTTP', 'TCP'}",TCP,58:cb:52:15:e2:54
101.0,66,153,26.686839933100835,0.5868705659359479,-1.5,0.022970666666666667,0.001539057614333333,0.000643,-1.5000000000000002,0.7068930871319741,3,1,2,3,0,0,0,109.5,84.0,0.0,0.0,microseven-camera,android_lan_audio,2021-08-04_10:10:55.60s,1628086262.708785,173.254.193.108,7007,6,{'TCP'},TCP,pnp.microseven.com
105.0,66,309,5.930408874022408,2.0727977774507957,2.9315042573658205,0.0009652999999999999,1.1089924555555553e-06,0.0005715,0.6104818313781228,1.2487604579592195,10,0,0,0,10,5,5,0.0,0.0,93.8,116.2,microseven-camera,android_lan_audio,2021-08-04_10:10:55.60s,1628086273.263661,,,6,"{'HTTP', 'TCP'}",TCP,58:cb:52:15:e2:54
159.75,66,389,38.54765768114565,1.0718856710638005,-0.7394737452514617,0.0960395,0.03653423583766666,0.000705,-0.6666753095399205,1.154689297533123,4,2,2,4,0,0,0,66.0,253.5,0.0,0.0,microseven-camera,android_lan_audio,2021-08-04_10:10:55.60s,1628086269.76788,173.254.193.108,7007,6,{'TCP'},TCP,pnp.microseven.com
