meanBytes,minBytes,maxBytes,medAbsDev,skewLength,kurtosisLength,meanTBP,varTBP,medianTBP,kurtosisTBP,skewTBP,network_total,network_in,network_out,network_external,network_local,network_in_local,network_out_local,meanBytes_out_external,meanBytes_in_external,meanBytes_out_local,meanBytes_in_local,device,state,event,start_time,remote_ip,remote_port,trans_protocol,raw_protocol,protocol,hosts
104.5,54,171,63.010594286488086,0.1399090900831611,-1.8156827339769899,0.059978000000000004,0.0076509842206666685,0.025021500000000002,-0.7156183193845944,1.0847620916992382,4,1,3,4,0,0,0,93.0,139.0,0.0,0.0,ring-doorbell,android_lan_audio,2021-08-04_13:53:09.61s,1628099591.229016,35.171.156.148,9998,6,"{'TCP', 'TLSv1.2'}",TCP,rss-dpd-service.ring.com
142.4,54,411,0.0,1.3091375707402364,-0.0522517688239561,0.031340400000000004,0.0016224175112999996,0.011811,-0.44173336626291704,1.0629331383734635,5,2,3,5,0,0,0,82.33333333333333,232.5,0.0,0.0,ring-doorbell,android_lan_audio,2021-08-04_13:53:09.61s,1628099597.30431,35.171.156.148,9998,6,"{'TCP', 'TLSv1.2'}",TCP,rss-dpd-service.ring.com
96.5,54,139,63.010594286488086,0.0,-2.0,0.10671225000000001,0.011095255566916666,0.0914035,-1.2223588754852819,0.41153080009209897,4,2,2,4,0,0,0,96.5,96.5,0.0,0.0,ring-doorbell,android_lan_audio,2021-08-04_13:53:09.61s,1628099594.625966,35.171.156.148,9998,6,"{'TCP', 'TLSv1.2'}",TCP,rss-dpd-service.ring.com
849.3986928104575,68,1266,0.0,-0.42807942159597223,-1.7932116450527633,0.005858913725490196,0.00010777602187998154,0.00308,147.09719442204957,9.270201325583209,765,11,754,765,0,0,0,860.2944297082228,102.54545454545455,0.0,0.0,ring-doorbell,android_lan_audio,2021-08-04_13:53:09.61s,1628099590.048606,107.21.132.29,64452,17,{'UDP'},UDP,*.compute.amazonaws.com
104.5,54,171,63.010594286488086,0.1399090900831611,-1.8156827339769899,0.04104825,0.005153495306916667,0.0078835,-0.6822322790308886,1.1354706413856932,4,1,3,4,0,0,0,93.0,139.0,0.0,0.0,ring-doorbell,android_lan_audio,2021-08-04_13:53:09.61s,1628099621.083097,35.171.156.148,9998,6,"{'TCP', 'TLSv1.2'}",TCP,rss-dpd-service.ring.com
121.33333333333333,54,171,47.443270992179265,-0.49092817692719803,-1.5000000000000002,0.05612066666666666,0.007527300081333333,0.012312,-1.4999999999999993,0.691120683964837,3,1,2,3,0,0,0,112.5,139.0,0.0,0.0,ring-doorbell,android_lan_audio,2021-08-04_13:53:09.61s,1628099615.987236,35.171.156.148,9998,6,"{'TCP', 'TLSv1.2'}",TCP,rss-dpd-service.ring.com
121.33333333333333,54,171,47.443270992179265,-0.49092817692719803,-1.5000000000000002,0.050173999999999996,0.005815225596,0.012594,-1.4999999999999998,0.6854715908131079,3,1,2,3,0,0,0,112.5,139.0,0.0,0.0,ring-doorbell,android_lan_audio,2021-08-04_13:53:09.61s,1628099626.196052,35.171.156.148,9998,6,"{'TCP', 'TLSv1.2'}",TCP,rss-dpd-service.ring.com
104.5,54,171,63.010594286488086,0.1399090900831611,-1.8156827339769899,0.04738425,0.006516115286250001,0.010795,-0.6905580769708073,1.1255610482194782,4,1,3,4,0,0,0,93.0,139.0,0.0,0.0,ring-doorbell,android_lan_audio,2021-08-04_13:53:09.61s,1628099631.28712,35.171.156.148,9998,6,"{'TCP', 'TLSv1.2'}",TCP,rss-dpd-service.ring.com
234.5,54,1211,63.010594286488086,2.201778715851864,2.9739852095516612,0.06219275,0.007992343838785715,0.011749,0.2618509496718273,1.278988907090131,8,4,4,8,0,0,0,104.5,364.5,0.0,0.0,ring-doorbell,android_lan_audio,2021-08-04_13:53:09.61s,1628099610.556987,35.171.156.148,9998,6,"{'TCP', 'TLSv1.2'}",TCP,rss-dpd-service.ring.com
104.5,54,171,63.010594286488086,0.1399090900831611,-1.8156827339769899,0.05083525,0.004090787394249999,0.0317225,-1.0709746857979365,0.7388772308052739,4,2,2,4,0,0,0,112.5,96.5,0.0,0.0,ring-doorbell,android_lan_audio,2021-08-04_13:53:09.61s,1628099646.44314,35.171.156.148,9998,6,"{'TCP', 'TLSv1.2'}",TCP,rss-dpd-service.ring.com
