meanBytes,minBytes,maxBytes,medAbsDev,skewLength,kurtosisLength,meanTBP,varTBP,medianTBP,kurtosisTBP,skewTBP,network_total,network_in,network_out,network_external,network_local,network_in_local,network_out_local,meanBytes_out_external,meanBytes_in_external,meanBytes_out_local,meanBytes_in_local,device,state,event,start_time,remote_ip,remote_port,trans_protocol,raw_protocol,protocol,hosts
168.5,54,283,169.7579540188914,0.0,-2.0,0.0046705,4.36271405e-05,0.0046705,-2.0,0.0,2,1,1,2,0,0,0,54.0,283.0,0.0,0.0,smartlife-bulb,android_wan_dim,2021-08-12_11:13:36.38s,1628781222.779527,54.212.163.173,8886,6,"{'TCP', 'TLSv1.2'}",TCP,m2.tuyaus.com
190.66666666666666,54,283,71.1649064882689,-0.583523725141814,-1.5000000000000004,0.04880333333333334,0.005006546017333334,0.016458,-1.4999999999999998,0.664311966426193,3,2,1,3,0,0,0,283.0,144.5,0.0,0.0,smartlife-bulb,android_wan_dim,2021-08-12_11:13:36.38s,1628781228.06454,54.212.163.173,8886,6,"{'TCP', 'TLSv1.2'}",TCP,m2.tuyaus.com
153.0,54,267,102.29955307688654,0.22203760644873188,-1.7724402339427408,0.036924200000000004,0.0017433300596999997,0.020129,-1.6905961814460515,0.35624682196110735,5,3,2,5,0,0,0,160.5,148.0,0.0,0.0,smartlife-bulb,android_wan_dim,2021-08-12_11:13:36.38s,1628781233.152027,54.212.163.173,8886,6,"{'TCP', 'TLSv1.2'}",TCP,m2.tuyaus.com
168.5,54,283,169.7579540188914,0.0,-2.0,0.0015295,4.6787405000000006e-06,0.0015295,-2.0,0.0,2,1,1,2,0,0,0,54.0,283.0,0.0,0.0,smartlife-bulb,android_wan_dim,2021-08-12_11:04:24.37s,1628780669.979441,54.212.163.173,8886,6,"{'TCP', 'TLSv1.2'}",TCP,m2.tuyaus.com
190.66666666666666,54,283,71.1649064882689,-0.583523725141814,-1.5000000000000004,0.04874133333333334,0.004921709406333335,0.017077,-1.5000000000000002,0.6602635882723469,3,2,1,3,0,0,0,283.0,144.5,0.0,0.0,smartlife-bulb,android_wan_dim,2021-08-12_11:04:24.37s,1628780675.573731,54.212.163.173,8886,6,"{'TCP', 'TLSv1.2'}",TCP,m2.tuyaus.com
348.0,346,350,2.965204437011204,0.0,-2.0,0.0550275,0.0060560515125,0.0550275,-2.0,0.0,2,0,0,0,2,1,1,0.0,0.0,350.0,346.0,smartlife-bulb,android_wan_dim,2021-08-12_11:13:36.38s,1628781246.505025,,,17,{'DHCP'},DHCP,22:ef:03:1a:97:b9
185.75,54,283,118.60817748044816,-0.17226449919562145,-1.7737117808397393,0.03465525,0.0009482281342499999,0.0320255,-1.0312450232509807,0.28532860801457294,4,2,2,4,0,0,0,168.5,203.0,0.0,0.0,smartlife-bulb,android_wan_dim,2021-08-12_11:13:36.38s,1628781236.948165,54.212.163.173,8886,6,"{'TCP', 'TLSv1.2'}",TCP,m2.tuyaus.com
153.0,54,267,102.29955307688654,0.22203760644873188,-1.7724402339427408,0.057575799999999996,0.0060066298837000015,0.027929,-0.47272104889019895,1.0292825783432955,5,3,2,5,0,0,0,160.5,148.0,0.0,0.0,smartlife-bulb,android_wan_dim,2021-08-12_11:04:24.37s,1628780680.606849,54.212.163.173,8886,6,"{'TCP', 'TLSv1.2'}",TCP,m2.tuyaus.com
168.5,54,283,169.7579540188914,0.0,-2.0,0.014385,0.00041385645000000003,0.014385,-2.0,0.0,2,1,1,2,0,0,0,54.0,283.0,0.0,0.0,smartlife-bulb,android_wan_dim,2021-08-11_21:20:10.38s,1628731217.063451,54.212.163.173,8886,6,"{'TCP', 'TLSv1.2'}",TCP,m2.tuyaus.com
100.0,54,123,0.0,-0.7071067811865476,-1.5,0.09836866666666666,0.012712447817333335,0.073694,-1.5000000000000004,0.38278885171887306,3,1,2,3,0,0,0,88.5,123.0,0.0,0.0,smartlife-bulb,android_wan_dim,2021-08-11_21:20:10.38s,1628731214.297108,54.212.163.173,8886,6,"{'TCP', 'TLSv1.2'}",TCP,m2.tuyaus.com
