meanBytes,minBytes,maxBytes,medAbsDev,skewLength,kurtosisLength,meanTBP,varTBP,medianTBP,kurtosisTBP,skewTBP,network_total,network_in,network_out,network_external,network_local,network_in_local,network_out_local,meanBytes_out_external,meanBytes_in_external,meanBytes_out_local,meanBytes_in_local,device,state,event,start_time,remote_ip,remote_port,trans_protocol,raw_protocol,protocol,hosts
323.25,54,1280,128.24509190073456,1.6329711337316992,0.9105514547821327,0.08146583333333333,0.02700596815942424,0.012209,1.4512421476593929,1.8305466711775333,12,6,6,12,0,0,0,491.5,155.0,0.0,0.0,tplink-bulb,android_wan_dim,2021-08-04_19:18:33.38s,1628119115.181955,3.90.170.163,443,6,"{'TCP', 'TLSv1.2'}",TCP,devs.tplinkcloud.com
85.5,54,120,44.478066555168056,0.013513410069151932,-1.9820024560634704,0.0048927499999999995,3.089267158333333e-05,0.0037519999999999997,-1.3944155697911476,0.4460150918649974,4,2,2,4,0,0,0,87.0,84.0,0.0,0.0,tplink-bulb,android_wan_dim,2021-08-04_19:18:33.38s,1628119122.00616,3.90.170.163,443,6,"{'TCP', 'TLSv1.2'}",TCP,devs.tplinkcloud.com
294.75,54,1280,143.07111408579058,1.8592219379585915,2.4239850960260787,0.05142580000000001,0.01773170006564211,0.0188895,14.499087245898338,4.024631785651122,20,10,10,20,0,0,0,427.1,162.4,0.0,0.0,tplink-bulb,android_wan_dim,2021-08-04_19:18:33.38s,1628119123.679373,3.90.170.163,443,6,"{'TCP', 'TLSv1.2'}",TCP,devs.tplinkcloud.com
207.0,54,389,205.34040726302587,0.05246942329917356,-1.9303493852071527,0.0151035,0.0002980245851428571,0.0081165,1.466033785331426,1.6508482319135256,8,4,4,8,0,0,0,192.5,221.5,0.0,0.0,tplink-bulb,android_wan_dim,2021-08-04_19:18:33.38s,1628119133.835069,3.90.170.163,443,6,"{'TCP', 'TLSv1.2'}",TCP,devs.tplinkcloud.com
121.0,81,161,59.30408874022408,0.0,-2.0,0.016969,0.0005758939220000001,0.016969,-2.0,0.0,2,1,1,2,0,0,0,81.0,161.0,0.0,0.0,tplink-bulb,android_wan_dim,2021-08-04_19:18:33.38s,1628119135.431514,155.33.33.75,53,17,{'DNS'},DNS,neu.edu
392.5217391304348,54,2958,0.0,2.39584516433237,5.268867994917979,0.02290347826086956,0.0017578799368972336,0.011617,2.681153120199463,2.1099513844837428,23,9,14,23,0,0,0,116.21428571428571,822.3333333333334,0.0,0.0,tplink-bulb,android_wan_dim,2021-08-04_19:18:33.38s,1628119135.578684,52.70.23.11,443,6,"{'TCP', 'TLSv1.2'}",TCP,use1-api.tplinkra.com
323.25,54,1280,128.24509190073456,1.6329711337316992,0.9105514547821327,0.0923675,0.03815517036790908,0.0121265,2.21935057986848,1.9764435867630963,12,6,6,12,0,0,0,491.5,155.0,0.0,0.0,tplink-bulb,android_wan_dim,2021-08-04_19:57:40.38s,1628121461.640391,3.90.170.163,443,6,"{'TCP', 'TLSv1.2'}",TCP,devs.tplinkcloud.com
295.72727272727275,54,1281,286.14222817158117,1.9424281490088622,2.946079545151271,0.01833709090909091,0.000274316110490909,0.011384,0.0008982577964551375,1.0111266964561771,11,5,6,11,0,0,0,387.6666666666667,185.4,0.0,0.0,tplink-bulb,android_wan_dim,2021-08-04_19:18:33.38s,1628119148.846286,3.90.170.163,443,6,"{'TCP', 'TLSv1.2'}",TCP,devs.tplinkcloud.com
294.75,54,1280,143.07111408579058,1.8592219379585915,2.4239850960260787,0.031147200000000003,0.004684099125221052,0.012327999999999999,13.029038469297308,3.761275894478527,20,10,10,20,0,0,0,427.1,162.4,0.0,0.0,tplink-bulb,android_wan_dim,2021-08-04_19:57:40.38s,1628121470.437294,3.90.170.163,443,6,"{'TCP', 'TLSv1.2'}",TCP,devs.tplinkcloud.com
275.5833333333333,54,1281,143.07111408579058,2.0605390246335333,3.484223871397969,0.025786166666666666,0.0007377718325151515,0.0133535,1.6996396710305142,1.5401528091689012,12,6,6,12,0,0,0,387.6666666666667,163.5,0.0,0.0,tplink-bulb,android_wan_dim,2021-08-04_19:57:40.38s,1628121495.271558,3.90.170.163,443,6,"{'TCP', 'TLSv1.2'}",TCP,devs.tplinkcloud.com
