meanBytes,minBytes,maxBytes,medAbsDev,skewLength,kurtosisLength,meanTBP,varTBP,medianTBP,kurtosisTBP,skewTBP,network_total,network_in,network_out,network_external,network_local,network_in_local,network_out_local,meanBytes_out_external,meanBytes_in_external,meanBytes_out_local,meanBytes_in_local,device,state,event,start_time,remote_ip,remote_port,trans_protocol,raw_protocol,protocol,hosts
62.0,62,62,0.0,,,2.6e-05,1.3519999999999999e-09,2.6e-05,-2.0,0.0,2,2,0,2,0,0,0,0.0,62.0,0.0,0.0,yi-camera,android_lan_recording,2021-08-04_14:11:36.51s,1628100698.696727,47.90.240.160,32100,17,{'UDP'},UDP,47.90.240.160
534.3287671232877,46,1074,158.63843738009942,0.3181344771533198,-1.8408992149292058,0.027786380136986304,0.0019546227254941743,0.0071765,11.378799069222522,2.9366573770210858,292,0,0,0,292,0,292,0.0,0.0,534.3287671232877,0.0,yi-camera,android_lan_recording,2021-08-04_14:11:36.51s,1628100697.02759,,,17,{'UDP'},UDP,58:cb:52:15:e2:54
77.0,46,150,11.860817748044816,1.0904825078468383,-0.7205509249109907,0.032634250000000004,0.00089058286825,0.0362205,-1.844641120649199,-0.11761267222243788,4,2,2,4,0,0,0,98.0,56.0,0.0,0.0,yi-camera,android_lan_recording,2021-08-04_14:11:36.51s,1628100700.066115,47.88.59.209,32100,17,{'UDP'},UDP,47.88.59.209
62.0,62,62,0.0,,,7.5e-06,1.125e-10,7.5e-06,-2.0,0.0,2,2,0,2,0,0,0,0.0,62.0,0.0,0.0,yi-camera,android_lan_recording,2021-08-04_14:11:36.51s,1628100698.938782,47.74.255.9,32100,17,{'UDP'},UDP,47.74.255.9
62.0,62,62,0.0,,,3.7e-05,2.738e-09,3.7e-05,-2.0,0.0,2,2,0,2,0,0,0,0.0,62.0,0.0,0.0,yi-camera,android_lan_recording,2021-08-04_14:11:36.51s,1628100698.753742,47.88.59.209,32100,17,{'UDP'},UDP,47.88.59.209
70.0,70,70,0.0,,,0.013186,0.0005498694820000001,0.0022094999999999997,-0.6717914749631189,1.14775603736143,4,0,0,0,4,0,4,0.0,0.0,70.0,0.0,yi-camera,android_lan_recording,2021-08-04_14:11:36.51s,1628100698.755712,,,17,{'UDP'},UDP,22:ef:03:1a:97:b9
100.0,50,150,74.13011092528009,0.0,-2.0,0.0077315,0.00011955218449999999,0.0077315,-2.0,0.0,2,1,1,2,0,0,0,150.0,50.0,0.0,0.0,yi-camera,android_lan_recording,2021-08-04_14:11:36.51s,1628100728.460742,47.90.240.160,32100,17,{'UDP'},UDP,47.90.240.160
100.0,50,150,74.13011092528009,0.0,-2.0,0.0077535,0.0001202335245,0.0077535,-2.0,0.0,2,1,1,2,0,0,0,150.0,50.0,0.0,0.0,yi-camera,android_lan_recording,2021-08-04_14:11:36.51s,1628100703.52667,47.90.240.160,32100,17,{'UDP'},UDP,47.90.240.160
100.0,50,150,74.13011092528009,0.0,-2.0,0.03614,0.0026121991999999996,0.03614,-2.0,0.0,2,1,1,2,0,0,0,150.0,50.0,0.0,0.0,yi-camera,android_lan_recording,2021-08-04_14:11:36.51s,1628100728.460263,47.88.59.209,32100,17,{'UDP'},UDP,47.88.59.209
77.0,46,150,11.860817748044816,1.0904825078468383,-0.7205509249109907,0.0174875,0.0002555266776666666,0.0155835,-0.9633362057466597,0.4047846073837076,4,2,2,4,0,0,0,98.0,56.0,0.0,0.0,yi-camera,android_lan_recording,2021-08-04_14:11:36.51s,1628100700.070211,47.90.240.160,32100,17,{'UDP'},UDP,47.90.240.160
